country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Azerbaijan,1997,2.33,6.15,65.6
Bahamas,1997,2.36,396,71.3
Bahrain,1997,2.93,353,71.4
Bangladesh,1997,3.47,20.4,63.7
Barbados,1997,1.74,322,74.4
Belarus,1997,1.34,75,68.5
Belgium,1997,1.61,1440,77.4
Belize,1997,3.91,63.7,71.1
Benin,1997,6.2,6.87,57
Bhutan,1997,4.2,24.4,64.5
Bolivia,1997,4.37,29.6,64.7
Bosnia and Herzegovina,1997,1.66,39.5,74.1
Botswana,1997,3.72,77.7,57.9
Brazil,1997,2.46,153,70.2
Brunei,1997,2.63,515,73.1
Bulgaria,1997,1.23,45.8,70.4
Burkina Faso,1997,6.75,4.48,50.8
Burundi,1997,7.18,2.41,43.6
Cambodia,1997,4.33,5.57,59.1
Cameroon,1997,5.8,6.1,55.6
Canada,1997,1.58,1310,78.5
Cape Verde,1997,4.22,44.5,70.6
Central African Republic,1997,5.56,4.05,44.7
Chad,1997,7.42,4.04,52.5
Chile,1997,2.23,156,75.8
China,1997,1.53,13.7,70.8
Colombia,1997,2.54,175,73.2
Comoros,1997,5.27,10.5,60.2
"Congo, Dem. Rep.",1997,7.11,0.27,51.9
"Congo, Rep.",1997,5.12,14,46.6
Costa Rica,1997,2.65,163,77
Cote d'Ivoire,1997,5.92,11,51.7
Croatia,1997,1.51,255,73.4
Cuba,1997,1.63,114,75.9
Cyprus,1997,1.95,252,76.6
Czech Republic,1997,1.22,334,74
Denmark,1997,1.75,2160,76.2
Djibouti,1997,4.96,20.9,60.1
Dominican Republic,1997,3.01,35,73.4
Ecuador,1997,3.23,47.1,73.8
Egypt,1997,3.46,22.7,67.4
El Salvador,1997,3.38,59.9,71.2
Equatorial Guinea,1997,5.94,21.1,51.4
Eritrea,1997,5.67,3.84,53
Estonia,1997,1.34,199,70.2
Eswatini,1997,4.52,48,55
Ethiopia,1997,6.86,1.8,50.2
Fiji,1997,3.21,76.3,66
Finland,1997,1.75,1330,77.2
France,1997,1.75,1940,78.7
Gabon,1997,4.81,46.8,60.2
Gambia,1997,6,5.29,61.2
Georgia,1997,1.75,10.6,72.5
Germany,1997,1.33,2180,77.4
Ghana,1997,5.04,11.2,59.2
Greece,1997,1.35,562,78.5
Grenada,1997,2.87,95.3,72.7
Guatemala,1997,4.9,23.7,66.8
Guinea,1997,6.27,5.33,54.1
Guinea-Bissau,1997,6.11,5.37,50.3
Guyana,1997,3.06,40.9,66.2
Haiti,1997,4.67,9.68,55.7
Hungary,1997,1.43,251,71
Iceland,1997,2.07,2250,79
India,1997,3.51,4.61,62
Indonesia,1997,2.58,7.12,66.7
Iran,1997,2.73,53.4,72.7
Ireland,1997,1.92,1050,76
Israel,1997,2.92,1000,78.1
Italy,1997,1.23,1140,78.7
Jamaica,1997,2.7,99.9,74
Japan,1997,1.37,1920,80.8
Jordan,1997,4.35,85,71.9
Kazakhstan,1997,2.05,43,64.8
Kenya,1997,5.35,7.25,56.6
Kiribati,1997,4.24,77.9,59.1
Kuwait,1997,2.86,534,78.7
Kyrgyz Republic,1997,3.02,10.7,66
Lao,1997,4.94,12.7,55.4
Latvia,1997,1.22,89.3,69.9
Lebanon,1997,2.47,152,74.2
Lesotho,1997,4.39,14.4,53.9
Libya,1997,3.27,90.3,73.2
Lithuania,1997,1.5,118,71.4
Luxembourg,1997,1.72,2290,76.9
Madagascar,1997,5.84,5.25,57.7
Malawi,1997,6.31,4.13,44.7
Malaysia,1997,3.15,72.9,72.4
Maldives,1997,3.67,69.5,69.9
Mali,1997,6.98,6.58,51.1
Malta,1997,1.89,442,78
Mauritania,1997,5.64,11.7,62.2
Mauritius,1997,2.07,68.9,71
"Micronesia, Fed. Sts.",1997,4.54,140,65
Moldova,1997,1.72,27.4,67.9
Mongolia,1997,2.43,15.4,60.8
Montenegro,1997,1.93,72,73.8
Morocco,1997,3.04,13.8,68.3
Mozambique,1997,5.88,6.68,50.5
Myanmar,1997,2.97,0.28,57.6
Namibia,1997,4.35,102,57.9
Nepal,1997,4.47,2.23,63.6
Netherlands,1997,1.56,1340,77.9
New Zealand,1997,2.05,1000,77.2
Niger,1997,7.71,2.96,50
Nigeria,1997,6.19,12.5,55.4
North Macedonia,1997,1.86,107,73.1
Norway,1997,1.86,2450,78.3
Oman,1997,4.63,192,71.8
