country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Central African Republic,2007,5.32,5.72,46
Chad,2007,6.9,6.6,54.6
Chile,2007,1.95,295,78.4
China,2007,1.58,53.7,75.4
Colombia,2007,2.12,239,77.3
Comoros,2007,5.11,19.1,65
"Congo, Dem. Rep.",2007,6.61,3.7,56.6
"Congo, Rep.",2007,5.01,34.7,57.6
Costa Rica,2007,2.01,353,80.2
Cote d'Ivoire,2007,5.34,13.6,55.5
Croatia,2007,1.41,877,75.7
Cuba,2007,1.58,557,78.3
Cyprus,2007,1.48,713,78.8
Czech Republic,2007,1.39,972,77
Denmark,2007,1.85,4800,78.4
Djibouti,2007,3.62,53.9,62.3
Dominican Republic,2007,2.69,83.1,73.5
Ecuador,2007,2.74,55.5,74.2
Egypt,2007,3.02,34.9,69.3
El Salvador,2007,2.41,122,72.4
Equatorial Guinea,2007,5.43,260,61.4
Eritrea,2007,4.82,4.09,57
Estonia,2007,1.62,639,73.2
Eswatini,2007,3.76,97.9,44.2
Ethiopia,2007,5.36,6.7,59.2
Fiji,2007,2.77,113,66.9
Finland,2007,1.83,2780,79.5
France,2007,1.97,3510,81
Gabon,2007,4.16,103,60.6
Gambia,2007,5.79,10.4,62.7
Georgia,2007,1.77,33.4,73.8
Germany,2007,1.36,3230,80.1
Ghana,2007,4.39,40.9,60.4
Greece,2007,1.44,1620,79.4
Grenada,2007,2.3,212,74.5
Guatemala,2007,3.7,61.4,70.9
Guinea,2007,5.58,1.82,56.3
Guinea-Bissau,2007,5.24,4.44,54.3
Guyana,2007,2.76,69.8,67.7
Haiti,2007,3.58,8.24,60.6
Hungary,2007,1.32,720,73.5
Iceland,2007,2.1,5120,81.9
India,2007,2.82,10.4,66
Indonesia,2007,2.51,23.1,69
Iran,2007,1.79,98.1,74.7
Ireland,2007,1.99,3500,79.6
Israel,2007,2.93,1030,80.6
Italy,2007,1.4,2370,81.4
Jamaica,2007,2.29,120,76.4
Japan,2007,1.33,2260,82.8
Jordan,2007,3.71,151,75.8
Kazakhstan,2007,2.47,121,66.2
Kenya,2007,4.68,13.6,58.4
Kiribati,2007,3.88,148,60.5
Kuwait,2007,2.4,787,79.5
Kyrgyz Republic,2007,2.73,23.9,67.7
Lao,2007,3.42,3.31,61.7
Latvia,2007,1.46,536,70.8
Lebanon,2007,1.63,212,76.6
Lesotho,2007,3.41,42.5,44.5
Libya,2007,2.44,224,74.8
Lithuania,2007,1.39,529,70.7
Luxembourg,2007,1.62,6410,80.1
Madagascar,2007,4.87,10.6,61.4
Malawi,2007,5.73,12.7,49.7
Malaysia,2007,2.22,143,74.5
Maldives,2007,2.26,222,76.8
Mali,2007,6.72,14.2,57.8
Malta,2007,1.38,1060,79.6
Mauritania,2007,5.1,22.4,66.9
Mauritius,2007,1.72,114,73.4
"Micronesia, Fed. Sts.",2007,3.66,259,66.8
Moldova,2007,1.24,60.5,69.3
Mongolia,2007,2.33,48.5,65
Montenegro,2007,1.82,317,75
Morocco,2007,2.56,45.6,71.4
Mozambique,2007,5.67,13,50.8
Myanmar,2007,2.59,0.882,62.5
Namibia,2007,3.62,154,54.5
Nepal,2007,3.01,6.96,68.5
Netherlands,2007,1.72,3480,80.2
New Zealand,2007,2.11,2220,80
Niger,2007,7.57,8.18,57.2
Nigeria,2007,5.93,26.8,58.5
North Macedonia,2007,1.48,176,74.9
Norway,2007,1.9,6150,80.5
Oman,2007,2.89,323,75.2
Pakistan,2007,3.98,6.92,63.5
Panama,2007,2.64,255,78.2
Papua New Guinea,2007,4.16,23.1,55.7
Paraguay,2007,2.91,49.2,74.8
Peru,2007,2.62,113,77.9
Philippines,2007,3.35,19.9,69.2
Poland,2007,1.34,508,75.3
Portugal,2007,1.38,1440,79.3
Qatar,2007,2.31,1320,77.2
Romania,2007,1.43,342,73.2
Russia,2007,1.41,313,67.3
Rwanda,2007,4.9,17.2,60.3
Samoa,2007,4.45,142,72.4
Sao Tome and Principe,2007,4.93,33,67.3
Saudi Arabia,2007,3.24,409,74.7
Senegal,2007,5.11,31.7,64.5
Serbia,2007,1.6,336,73.7
Seychelles,2007,2.29,381,72.8
Sierra Leone,2007,5.62,2.82,53.5
Singapore,2007,1.29,367,81.9
Slovak Republic,2007,1.29,720,74.5
Slovenia,2007,1.4,1320,78.2
Solomon Islands,2007,4.41,63.9,61
South Africa,2007,2.64,202,52.6
Spain,2007,1.38,1950,81
Sri Lanka,2007,2.27,29.4,74.4
St. Lucia,2007,1.6,195,75
St. Vincent and the Grenadines,2007,2.13,202,72.8
Sudan,2007,5.03,23.1,66.5
Suriname,2007,2.61,171,70.6
Sweden,2007,1.89,3670,80.9
Switzerland,2007,1.46,3590,81.9
Syria,2007,3.39,38.9,75.5
Tajikistan,2007,3.49,6.67,69.4
Tanzania,2007,5.58,15,58.3
Thailand,2007,1.56,99.1,75.9
Timor-Leste,2007,6.59,43,68.8
Togo,2007,5.06,9.62,57.7
Tonga,2007,4.06,174,70.9
Trinidad and Tobago,2007,1.79,387,72.8
Tunisia,2007,2.02,113,76.3
Turkey,2007,2.21,375,77.4
Turkmenistan,2007,2.67,74.2,66.8
Uganda,2007,6.42,7.33,55.9
Ukraine,2007,1.34,121,68.1
United Arab Emirates,2007,2.01,718,72.6
United Kingdom,2007,1.84,3160,79.7
United States,2007,2.12,3360,78
Uruguay,2007,2.13,307,75.5
Uzbekistan,2007,2.46,19.3,67.7
Vanuatu,2007,3.68,77.5,63.6
Venezuela,2007,2.56,222,75
Vietnam,2007,1.91,23.4,72.8
Yemen,2007,5.09,17.1,66.8
Zambia,2007,5.64,31.1,51.5
Albania,2008,1.65,109,77
Algeria,2008,2.75,148,75.9
Angola,2008,6.31,126,58.4
Antigua and Barbuda,2008,2.16,409,76.4
Argentina,2008,2.4,437,75.5
Armenia,2008,1.4,63.5,73.8
Australia,2008,1.94,2880,81.5
Austria,2008,1.41,3980,80.4
Azerbaijan,2008,1.87,45,68.8
Bahamas,2008,1.88,829,73.5
Bahrain,2008,2.23,565,77.1
Bangladesh,2008,2.38,49.1,68.5
Barbados,2008,1.77,628,76.3
Belarus,2008,1.45,243,70.3
Belgium,2008,1.81,3560,79.6
Belize,2008,2.82,138,73.5
Benin,2008,5.47,17,60.5
Bhutan,2008,2.55,80.9,70.8
Bolivia,2008,3.35,55.6,70.1
Bosnia and Herzegovina,2008,1.3,294,76.1
Botswana,2008,2.9,407,57
Brazil,2008,1.85,306,74
Brunei,2008,1.81,754,75
Bulgaria,2008,1.45,278,73.3
Burkina Faso,2008,6.04,21.6,57.2
Burundi,2008,6.45,6.81,56
Cambodia,2008,3.02,12.7,66
Cameroon,2008,5.22,13.1,56.3
Canada,2008,1.63,3260,80.8
Cape Verde,2008,2.83,114,73.7
Central African Republic,2008,5.29,6.16,46.7
Chad,2008,6.8,6.04,55.1
Chile,2008,1.93,337,78.8
China,2008,1.58,78.2,75.4
Colombia,2008,2.08,266,77.6
Comoros,2008,5.05,23.2,65.8
"Congo, Dem. Rep.",2008,6.57,6.46,56.8
"Congo, Rep.",2008,5,38.7,58.3
Costa Rica,2008,1.98,413,80.2
Cote d'Ivoire,2008,5.3,17.1,56.3
Croatia,2008,1.43,1040,75.8
Cuba,2008,1.6,557,78.3
Cyprus,2008,1.46,796,79.3
Czech Republic,2008,1.42,1220,77.2
Denmark,2008,1.89,5390,78.8
Djibouti,2008,3.5,56.1,62.8
Dominican Republic,2008,2.66,99.7,73.8
Ecuador,2008,2.71,71.6,74.2
Egypt,2008,3.06,42.7,69.4
El Salvador,2008,2.36,128,73
Equatorial Guinea,2008,5.36,418,61.6
Eritrea,2008,4.75,5.39,57.5
Estonia,2008,1.64,836,74.3
Eswatini,2008,3.69,104,44.5
Ethiopia,2008,5.2,7.29,60.5
Fiji,2008,2.74,116,67
Finland,2008,1.85,3170,79.8
France,2008,1.98,3840,81.1
Gabon,2008,4.14,115,61.2
Gambia,2008,5.76,12.7,63
Georgia,2008,1.82,51.8,72.8
Germany,2008,1.37,3610,80.2
Ghana,2008,4.35,39.8,60.8
Greece,2008,1.44,1850,79.8
Grenada,2008,2.28,214,74.4
Guatemala,2008,3.58,68.5,71.4
Guinea,2008,5.5,3.6,56.7
Guinea-Bissau,2008,5.17,5.07,54.7
Guyana,2008,2.72,139,68
Haiti,2008,3.49,8.92,60.9
Hungary,2008,1.32,794,74
Iceland,2008,2.1,4120,82
India,2008,2.75,11.9,66.2
Indonesia,2008,2.5,24.8,69.2
Iran,2008,1.78,128,74.9
Ireland,2008,2,4020,79.7
Israel,2008,2.95,1250,80.9
Italy,2008,1.41,2690,81.5
Jamaica,2008,2.25,146,75.6
Japan,2008,1.34,2630,82.9
Jordan,2008,3.69,204,76.6
Kazakhstan,2008,2.55,193,67.2
Kenya,2008,4.58,13.1,59.3
Kiribati,2008,3.87,144,60.6
Kuwait,2008,2.34,874,79.6
Kyrgyz Republic,2008,2.82,27.3,68.4
Lao,2008,3.33,9.55,62.4
Latvia,2008,1.49,609,72.1
Lebanon,2008,1.6,241,76.7
Lesotho,2008,3.37,46.5,45.1
Libya,2008,2.43,330,74.4
Lithuania,2008,1.43,677,71.6
Luxembourg,2008,1.61,6770,80.5
Madagascar,2008,4.78,14.9,61.5
Malawi,2008,5.61,13.3,51.1
Malaysia,2008,2.19,169,74.3
Maldives,2008,2.24,316,77.5
Mali,2008,6.67,15.6,58.4
Malta,2008,1.38,1040,79.9
Mauritania,2008,5.06,24.4,67.4
Mauritius,2008,1.67,134,73.5
"Micronesia, Fed. Sts.",2008,3.59,277,66.8
Moldova,2008,1.26,91.4,69.6
Mongolia,2008,2.43,68.1,65.5
Montenegro,2008,1.81,404,75.3
Morocco,2008,2.56,54.3,71.6
Mozambique,2008,5.64,12.9,51.3
Myanmar,2008,2.53,1.18,57.6
Namibia,2008,3.61,150,56
Nepal,2008,2.87,8.9,68.7
Netherlands,2008,1.77,3940,80.3
New Zealand,2008,2.12,2340,80.1
Niger,2008,7.54,10.1,58
Nigeria,2008,5.9,32.6,59.2
North Macedonia,2008,1.47,223,75.4
Norway,2008,1.96,6800,80.7
Oman,2008,2.89,366,75.2
Pakistan,2008,3.94,7.39,63.7
Panama,2008,2.63,341,78.1
Papua New Guinea,2008,4.1,30.1,55.9
Paraguay,2008,2.85,66.3,74.9
Peru,2008,2.59,160,77.9
Philippines,2008,3.28,20.9,69.2
Poland,2008,1.36,703,75.6
Portugal,2008,1.36,1550,79.5
Qatar,2008,2.21,1300,77.3
Romania,2008,1.45,424,73.3
Russia,2008,1.49,361,67.5
Rwanda,2008,4.77,20.9,61.8
Samoa,2008,4.43,144,72.5
Sao Tome and Principe,2008,4.88,35.6,67.7
Saudi Arabia,2008,3.15,375,74.7
Senegal,2008,5.1,35.5,65.1
Serbia,2008,1.58,417,73.9
Seychelles,2008,2.32,332,73
Sierra Leone,2008,5.49,4.58,54.1
Singapore,2008,1.28,458,82.2
Slovak Republic,2008,1.32,948,74.9
Slovenia,2008,1.44,1660,78.6
Solomon Islands,2008,4.36,65.8,61.4
South Africa,2008,2.62,203,53.4
Spain,2008,1.38,2270,81.3
Sri Lanka,2008,2.26,31.7,73.7
St. Lucia,2008,1.57,239,75.4
St. Vincent and the Grenadines,2008,2.11,251,73
Sudan,2008,4.98,32,67
Suriname,2008,2.58,186,70.8
Sweden,2008,1.92,3970,81
Switzerland,2008,1.47,4160,82.2
Syria,2008,3.33,41.8,75.4
Tajikistan,2008,3.49,10.6,69.6
Tanzania,2008,5.54,16.5,59.3
Thailand,2008,1.55,121,76.3
Timor-Leste,2008,6.48,44.4,69.3
Togo,2008,5,13.2,58
Tonga,2008,4.01,176,70.9
Trinidad and Tobago,2008,1.8,444,72.4
Tunisia,2008,2.06,133,76.5
Turkey,2008,2.19,455,77.7
Turkmenistan,2008,2.71,41.1,67.6
Uganda,2008,6.34,7.79,57
Ukraine,2008,1.38,150,68.3
United Arab Emirates,2008,1.95,1010,72.8
United Kingdom,2008,1.86,3130,79.8
United States,2008,2.07,3550,78.2
Uruguay,2008,2.11,460,76.1
Uzbekistan,2008,2.46,26.3,68
Vanuatu,2008,3.61,98,63.7
Venezuela,2008,2.53,269,74.7
Vietnam,2008,1.92,23.8,73
Yemen,2008,4.94,21.1,67.2
Zambia,2008,5.56,43.2,53
Albania,2009,1.65,107,77.5
Algeria,2009,2.83,143,76.1
Angola,2009,6.24,181,59.1
Antigua and Barbuda,2009,2.15,403,76.6
Argentina,2009,2.38,488,75.6
Armenia,2009,1.6,56,73.9
Australia,2009,1.94,2680,81.7
Austria,2009,1.39,3910,80.3
Azerbaijan,2009,1.91,65.4,69.1
Bahamas,2009,1.88,815,73.3
Bahrain,2009,2.18,540,77.8
Bangladesh,2009,2.32,53.1,69.1
Barbados,2009,1.78,494,76.7
Belarus,2009,1.5,199,70.4
Belgium,2009,1.81,3570,79.8
Belize,2009,2.76,154,73.5
Benin,2009,5.42,18,61
Bhutan,2009,2.46,78.5,71.1
Bolivia,2009,3.27,58.4,70.5
Bosnia and Herzegovina,2009,1.3,304,76.1
Botswana,2009,2.89,442,58.4
Brazil,2009,1.82,320,74.2
Brunei,2009,1.82,710,75
Bulgaria,2009,1.47,256,73.6
Burkina Faso,2009,5.95,19.3,57.8
Burundi,2009,6.35,6.72,56.9
Cambodia,2009,2.95,15,66.6
Cameroon,2009,5.17,15.7,56.9
Canada,2009,1.64,3190,81.1
Cape Verde,2009,2.75,111,74
Central African Republic,2009,5.25,6.25,47.4
Chad,2009,6.7,5.61,55.8
Chile,2009,1.9,382,78.6
China,2009,1.59,100,75.7
Colombia,2009,2.04,278,77.7
Comoros,2009,4.99,12.6,65.4
"Congo, Dem. Rep.",2009,6.52,7.48,57.1
"Congo, Rep.",2009,4.97,31.8,59.1
Costa Rica,2009,1.95,449,80.3
Cote d'Ivoire,2009,5.26,12.7,57
Croatia,2009,1.45,944,76.4
Cuba,2009,1.62,623,78.3
Cyprus,2009,1.44,745,79.7
Czech Republic,2009,1.45,1260,77.5
Denmark,2009,1.84,5490,79
Djibouti,2009,3.4,65.5,63.3
Dominican Republic,2009,2.63,115,74
Ecuador,2009,2.68,112,74.5
Egypt,2009,3.11,44.9,69.3
El Salvador,2009,2.31,137,72.8
Equatorial Guinea,2009,5.29,612,61.9
Eritrea,2009,4.68,5.09,58.1
Estonia,2009,1.65,758,75
Eswatini,2009,3.61,112,44.9
Ethiopia,2009,5.06,8.33,61.7
Fiji,2009,2.7,102,67.3
Finland,2009,1.86,3050,80
France,2009,1.99,3770,81.2
Gabon,2009,4.11,127,61.9
Gambia,2009,5.74,14.3,63.3
Georgia,2009,1.87,55.9,72.8
Germany,2009,1.38,3630,80.3
Ghana,2009,4.31,30.9,61.2
Greece,2009,1.43,1860,80
Grenada,2009,2.26,227,74.2
Guatemala,2009,3.47,68.8,71.3
Guinea,2009,5.42,2.06,56.9
Guinea-Bissau,2009,5.11,5.08,55.3
Guyana,2009,2.68,144,68.6
Haiti,2009,3.41,8.73,61.5
Hungary,2009,1.33,667,74.2
Iceland,2009,2.09,3040,82.1
India,2009,2.67,13.4,66.5
Indonesia,2009,2.49,26,69.4
Iran,2009,1.77,118,75
Ireland,2009,2,3530,79.8
Israel,2009,2.97,1210,81.3
Italy,2009,1.42,2590,81.7
Jamaica,2009,2.21,126,75
Japan,2009,1.36,3090,83.1
Jordan,2009,3.68,262,77.2
Kazakhstan,2009,2.62,193,68.2
Kenya,2009,4.48,15.4,60.2
Kiribati,2009,3.86,134,60.8
Kuwait,2009,2.28,1350,80.2
Kyrgyz Republic,2009,2.91,30.3,69.3
Lao,2009,3.24,11.1,63.1
Latvia,2009,1.5,466,72.8
Lebanon,2009,1.6,259,77
Lesotho,2009,3.33,55.7,46.5
Libya,2009,2.42,283,73.6
Lithuania,2009,1.47,614,73.1
Luxembourg,2009,1.59,6940,80.7
Madagascar,2009,4.69,11.5,61.5
Malawi,2009,5.47,16.5,52.5
Malaysia,2009,2.17,176,74.1
Maldives,2009,2.24,216,78.5
Mali,2009,6.61,15.6,59
Malta,2009,1.38,1080,80.2
Mauritania,2009,5.02,20,67.8
Mauritius,2009,1.62,142,73.6
"Micronesia, Fed. Sts.",2009,3.52,305,66.9
Moldova,2009,1.27,92.4,69.6
Mongolia,2009,2.54,53,65.6
Montenegro,2009,1.79,443,75.7
Morocco,2009,2.57,58.7,71.9
Mozambique,2009,5.6,16.8,51.7
Myanmar,2009,2.47,1.62,64
Namibia,2009,3.61,163,57.3
Nepal,2009,2.74,9.6,69
Netherlands,2009,1.79,4550,80.6
New Zealand,2009,2.13,2240,80.4
Niger,2009,7.52,9.55,58.5
Nigeria,2009,5.87,23.4,59.9
North Macedonia,2009,1.46,207,75.5
Norway,2009,1.98,6340,80.8
Oman,2009,2.9,410,75.3
Pakistan,2009,3.9,6.99,64
Panama,2009,2.63,422,78.1
Papua New Guinea,2009,4.04,30.9,56
Paraguay,2009,2.79,57.4,74.7
Peru,2009,2.57,136,77.4
Philippines,2009,3.21,23.2,69.1
Poland,2009,1.37,600,75.9
Portugal,2009,1.34,1600,79.7
Qatar,2009,2.13,1260,77.6
Romania,2009,1.46,341,73.4
Russia,2009,1.54,302,68.4
Rwanda,2009,4.64,25.1,63.1
Samoa,2009,4.39,132,70.3
Sao Tome and Principe,2009,4.84,37.3,68.4
Saudi Arabia,2009,3.06,380,74.7
Senegal,2009,5.08,32.5,65.5
Serbia,2009,1.58,357,74
Seychelles,2009,2.34,280,73
Sierra Leone,2009,5.35,4.75,54.6
Singapore,2009,1.26,553,82.9
Slovak Republic,2009,1.34,968,75.2
Slovenia,2009,1.48,1640,79.1
Solomon Islands,2009,4.3,95.5,61.4
South Africa,2009,2.6,228,54.5
Spain,2009,1.38,2230,81.7
Sri Lanka,2009,2.23,30.1,74
St. Lucia,2009,1.56,294,75.5
St. Vincent and the Grenadines,2009,2.09,241,73
Sudan,2009,4.93,25.9,67.3
Suriname,2009,2.55,238,71.3
Sweden,2009,1.94,3540,81.2
Switzerland,2009,1.49,4290,82.2
Syria,2009,3.26,43.9,75.7
Tajikistan,2009,3.5,10.8,69.7
Tanzania,2009,5.49,17.9,60
Thailand,2009,1.55,119,76.8
Timor-Leste,2009,6.36,42.6,69.7
Togo,2009,4.94,17.6,58.6
Tonga,2009,3.96,115,68.8
Trinidad and Tobago,2009,1.8,514,73
Tunisia,2009,2.1,133,76.7
Turkey,2009,2.17,432,77.5
Turkmenistan,2009,2.77,54.7,68.8
Uganda,2009,6.25,9.59,58.1
Ukraine,2009,1.42,110,70.1
United Arab Emirates,2009,1.9,1310,72.9
United Kingdom,2009,1.88,2900,80.2
United States,2009,2,3800,78.4
Uruguay,2009,2.09,514,76.4
Uzbekistan,2009,2.46,33.1,68.5
Vanuatu,2009,3.55,110,63.8
Venezuela,2009,2.5,276,74.8
Vietnam,2009,1.94,28.9,73.2
Yemen,2009,4.8,16.8,67.5
Zambia,2009,5.48,36.7,54.5
Albania,2010,1.65,94,77.6
Algeria,2010,2.89,139,76.3
Angola,2010,6.16,102,59.9
Antigua and Barbuda,2010,2.13,490,76.6
Argentina,2010,2.37,405,75.8
Armenia,2010,1.55,54.2,74
Australia,2010,1.93,3250,82
Austria,2010,1.44,3840,80.6
Azerbaijan,2010,1.96,67.3,69.3
Bahamas,2010,1.87,791,73.4
Bahrain,2010,2.14,634,78.2
Bangladesh,2010,2.28,58,69.5
Barbados,2010,1.78,652,76.7
Belarus,2010,1.54,248,70.4
Belgium,2010,1.81,3450,80.1
Belize,2010,2.72,150,73.6
Benin,2010,5.36,15,61.4
Bhutan,2010,2.38,94.2,71.6
Bolivia,2010,3.2,60.6,70.8
Bosnia and Herzegovina,2010,1.31,307,76.3
Botswana,2010,2.88,446,60.2
Brazil,2010,1.81,466,74.4
Brunei,2010,1.84,748,75.1
Bulgaria,2010,1.49,237,73.8
Burkina Faso,2010,5.87,20.3,58.3
Burundi,2010,6.26,7.91,57.8
Cambodia,2010,2.88,16.8,67.1
Cameroon,2010,5.11,18.2,57.7
Canada,2010,1.64,3680,81.4
Cape Verde,2010,2.67,116,74.3
Central African Republic,2010,5.22,6.44,48
Chad,2010,6.59,7.65,56.4
Chile,2010,1.88,456,78.6
China,2010,1.59,118,75.8
Colombia,2010,2.01,343,78.1
Comoros,2010,4.92,22.3,66.5
"Congo, Dem. Rep.",2010,6.47,6.7,57.9
"Congo, Rep.",2010,4.95,33.8,59.8
Costa Rica,2010,1.92,553,79.4
Cote d'Ivoire,2010,5.22,12.9,57.4
Croatia,2010,1.47,905,76.8
Cuba,2010,1.64,555,78.3
Cyprus,2010,1.42,708,80.1
Czech Republic,2010,1.47,1240,77.7
Denmark,2010,1.88,5470,79.3
Djibouti,2010,3.3,59.8,63.8
Dominican Republic,2010,2.6,140,74
Ecuador,2010,2.66,122,74.7
Egypt,2010,3.19,46.1,69.4
El Salvador,2010,2.27,146,73.4
Equatorial Guinea,2010,5.21,681,62.2
Eritrea,2010,4.61,5.74,58.6
Estonia,2010,1.64,671,76
Eswatini,2010,3.53,129,46
Ethiopia,2010,4.92,8.41,62.9
Fiji,2010,2.67,108,67.4
Finland,2010,1.87,2990,80.2
France,2010,1.99,3650,81.4
Gabon,2010,4.08,160,62.8
Gambia,2010,5.71,13.3,63.6
Georgia,2010,1.92,64.2,72.8
Germany,2010,1.39,3600,80.4
Ghana,2010,4.27,39.9,61.6
Greece,2010,1.41,1620,80.3
Grenada,2010,2.24,198,74.1
Guatemala,2010,3.38,68.7,71.7
Guinea,2010,5.34,2.6,57.4
Guinea-Bissau,2010,5.05,4.7,55.9
Guyana,2010,2.66,136,68
Haiti,2010,3.33,9.95,32.5
Hungary,2010,1.33,654,74.6
Iceland,2010,2.07,3000,82.4
India,2010,2.6,15.8,66.7
Indonesia,2010,2.48,37.7,69.7
Iran,2010,1.77,127,75.2
Ireland,2010,2,2930,80.7
Israel,2010,3,1320,81.8
Italy,2010,1.43,2520,82
Jamaica,2010,2.17,132,75.8
Japan,2010,1.37,3360,83.1
Jordan,2010,3.66,242,77.6
Kazakhstan,2010,2.67,234,68.4
Kenya,2010,4.37,16.3,61.2
Kiribati,2010,3.84,131,60.9
Kuwait,2010,2.22,983,81.2
Kyrgyz Republic,2010,2.98,30.1,69.7
Lao,2010,3.15,15.4,63.8
Latvia,2010,1.51,439,73.2
Lebanon,2010,1.61,255,77.2
Lesotho,2010,3.3,83,47.8
Libya,2010,2.41,333,73.4
Lithuania,2010,1.51,574,73.3
Luxembourg,2010,1.58,6910,80.8
Madagascar,2010,4.6,9.59,61.7
Malawi,2010,5.31,15.4,54.2
Malaysia,2010,2.15,204,74.4
Maldives,2010,2.23,231,79.2
Mali,2010,6.55,14.8,59.4
Malta,2010,1.39,1110,80.4
Mauritania,2010,4.98,22.7,68.2
Mauritius,2010,1.58,187,74
"Micronesia, Fed. Sts.",2010,3.46,334,67
Moldova,2010,1.27,87.2,69.8
Mongolia,2010,2.64,66.2,66
Montenegro,2010,1.77,389,76
Morocco,2010,2.58,56.2,72.1
Mozambique,2010,5.56,15.3,52
Myanmar,2010,2.41,2.09,64.8
Namibia,2010,3.61,211,59
Nepal,2010,2.61,9.9,69.2
Netherlands,2010,1.8,4430,80.8
New Zealand,2010,2.12,2730,80.7
Niger,2010,7.49,9.3,59.1
Nigeria,2010,5.84,23.8,60.5
North Macedonia,2010,1.47,202,75.9
Norway,2010,1.95,6790,80.9
Oman,2010,2.9,460,75.2
Pakistan,2010,3.86,8.38,64.3
Panama,2010,2.62,463,78.2
Papua New Guinea,2010,3.99,35.4,56.3
Paraguay,2010,2.73,59.3,74.6
Peru,2010,2.55,145,77.5
Philippines,2010,3.16,27.3,69.2
Poland,2010,1.37,666,76.4
Portugal,2010,1.33,1610,80
Qatar,2010,2.07,1150,78
Romania,2010,1.47,334,73.7
Russia,2010,1.57,326,68.1
Rwanda,2010,4.52,27.8,64.3
Samoa,2010,4.34,179,72.5
Sao Tome and Principe,2010,4.79,34.5,68.9
Saudi Arabia,2010,2.96,427,74.8
Senegal,2010,5.06,32.5,65.9
Serbia,2010,1.58,338,74.4
Seychelles,2010,2.36,339,73.2
Sierra Leone,2010,5.2,4.82,55.4
Singapore,2010,1.26,629,83.2
Slovak Republic,2010,1.36,930,75.6
Slovenia,2010,1.52,1590,79.5
Solomon Islands,2010,4.24,99.6,61.7
South Africa,2010,2.59,286,56.1
Spain,2010,1.37,2100,82
Sri Lanka,2010,2.2,31.3,74.7
St. Lucia,2010,1.54,282,75.6
St. Vincent and the Grenadines,2010,2.07,240,72.9
Sudan,2010,4.88,25,67.7
Suriname,2010,2.52,235,71.4
Sweden,2010,1.99,3820,81.5
Switzerland,2010,1.5,4610,82.5
Syria,2010,3.21,44.4,75.8
Tajikistan,2010,3.51,13.1,69.8
Tanzania,2010,5.43,20.8,60.9
Thailand,2010,1.55,134,77
Timor-Leste,2010,6.23,31.7,70
Togo,2010,4.87,18,59.2
Tonga,2010,3.91,140,71
Trinidad and Tobago,2010,1.81,516,73.6
Tunisia,2010,2.14,129,77
Turkey,2010,2.16,510,77.6
Turkmenistan,2010,2.83,63,69.6
Uganda,2010,6.15,10.2,59.1
Ukraine,2010,1.45,133,70.8
United Arab Emirates,2010,1.87,1080,72.9
United Kingdom,2010,1.89,2940,80.4
United States,2010,1.93,4440,78.7
Uruguay,2010,2.08,669,76.4
Uzbekistan,2010,2.44,39.1,68.8
Vanuatu,2010,3.5,143,64
Venezuela,2010,2.47,232,75.3
Vietnam,2010,1.95,31.4,73.5
Yemen,2010,4.67,15.3,68
Zambia,2010,5.4,43.9,56
